timestamp,tempA,otemp,lumA,rso1A,rso2A,rso3A,rso4A,hour,minute,second
2025-04-02T16:21:00.055635,17.447,18.0,0.0,,,,,12.0,54.0,45.0
2025-04-02T16:21:02.610305,18.383,16.39,0.0,,,,,16.0,28.0,5.0
2025-04-02T16:21:05.153038,17.36,12.44,0.0,,,,,19.0,59.0,45.0
2025-04-02T16:21:07.695413,15.203,10.33,0.0,,,,,23.0,33.0,5.0
2025-04-02T16:21:10.241855,13.63,11.61,0.0,,,,,3.0,4.0,45.0
2025-04-02T16:21:12.777994,14.001,15.23,0.0,,,,,6.0,36.0,25.0
2025-04-02T16:21:15.318619,16.006,18.0,0.0,,,,,10.0,8.0,5.0
2025-04-02T16:21:17.862467,17.748,18.0,0.0,,,,,13.0,39.0,45.0
2025-04-02T16:21:20.402543,18.322,15.53,10.0,,,,,17.0,11.0,25.0
2025-04-02T16:21:22.962084,17.0,11.78,6.214,,,,,20.0,44.0,45.0
2025-04-02T16:21:25.522895,14.735,10.31,6.191,,,,,0.0,18.0,5.0
2025-04-02T16:21:28.082773,13.49,12.29,10.0,,,,,3.0,51.0,25.0
2025-04-02T16:21:30.638951,14.348,16.19,10.0,,,,,7.0,23.0,5.0
2025-04-02T16:21:33.193667,16.492,18.0,10.0,,,,,10.0,56.0,25.0
2025-04-02T16:21:35.750193,18.025,18.0,10.0,,,,,14.0,29.0,45.0
2025-04-02T16:21:38.284985,18.145,14.56,10.0,,,,,18.0,1.0,25.0
2025-04-02T16:21:40.835905,16.525,11.17,6.191,,,,,21.0,33.0,5.0
2025-04-02T16:21:43.373724,14.337,10.47,1.191,,,,,1.0,4.0,45.0
2025-04-02T16:21:45.929930,13.505,13.06,10.0,,,,,4.0,38.0,5.0
2025-04-02T16:21:48.490039,14.778,17.16,10.0,,,,,8.0,11.0,25.0
2025-04-02T16:21:51.025707,16.913,18.0,10.0,,,,,11.0,43.0,5.0
2025-04-02T16:21:53.578286,18.246,17.86,10.0,,,,,15.0,14.0,45.0
2025-04-02T16:21:56.127744,17.894,13.69,8.781,,,,,18.0,48.0,5.0
2025-04-02T16:21:58.670046,15.988,10.73,0.313,,,,,22.0,19.0,45.0
2025-04-02T16:22:01.194749,14.024,10.79,0.313,,,,,1.0,49.0,45.0
2025-04-02T16:22:03.742314,13.634,13.86,4.044,,,,,5.0,23.0,5.0
2025-04-02T16:22:06.290145,15.23,18.0,7.944,,,,,8.0,54.0,45.0
2025-04-02T16:22:08.834571,17.249,18.0,7.911,,,,,12.0,26.0,25.0
2025-04-02T16:22:11.386154,18.368,16.98,10.0,,,,,15.0,59.0,45.0
2025-04-02T16:22:13.945344,17.602,12.91,3.063,,,,,19.0,33.0,5.0
2025-04-02T16:22:16.486007,15.509,10.44,0.0,,,,,23.0,4.0,45.0
2025-04-02T16:22:19.049626,13.752,11.28,0.0,,,,,2.0,38.0,5.0
2025-04-02T16:22:21.612375,13.866,14.77,0.0,,,,,6.0,11.0,25.0
2025-04-02T16:22:24.170859,15.787,18.0,0.0,,,,,9.0,44.0,45.0
2025-04-02T16:22:26.703259,17.603,18.0,0.0,,,,,13.0,16.0,25.0
2025-04-02T16:22:29.249201,18.379,16.02,0.0,,,,,16.0,48.0,5.0
2025-04-02T16:22:31.810890,17.199,12.14,0.0,,,,,20.0,21.0,25.0
2025-04-02T16:22:34.353139,14.998,10.31,0.0,,,,,23.0,53.0,5.0
2025-04-02T16:22:36.908755,13.568,11.91,0.0,,,,,3.0,26.0,25.0
2025-04-02T16:22:39.467167,14.179,15.72,0.0,,,,,6.0,59.0,45.0
2025-04-02T16:22:42.014890,16.255,18.0,0.0,,,,,10.0,31.0,25.0
2025-04-02T16:22:44.554421,17.887,18.0,0.0,,,,,14.0,3.0,5.0
2025-04-02T16:22:47.102994,18.255,15.07,0.0,,,,,17.0,36.0,25.0
2025-04-02T16:22:49.637377,16.817,11.49,0.0,,,,,21.0,8.0,5.0
2025-04-02T16:22:52.190512,14.567,10.37,0.0,,,,,0.0,39.0,45.0
2025-04-02T16:22:54.748674,13.482,12.6,0.0,,,,,4.0,13.0,5.0
2025-04-02T16:22:57.283736,14.543,16.61,0.0,,,,,7.0,44.0,45.0
2025-04-02T16:22:59.838853,16.675,18.0,0.0,,,,,11.0,18.0,5.0
2025-04-02T16:23:02.379164,18.122,18.0,0.0,,,,,14.0,48.0,5.0
2025-04-02T16:23:04.935302,18.062,14.21,0.0,,,,,18.0,21.0,25.0
2025-04-02T16:23:07.485282,16.308,10.96,0.0,,,,,21.0,54.0,45.0
2025-04-02T16:23:10.038883,14.192,10.61,0.0,,,,,1.0,26.0,25.0
2025-04-02T16:23:12.582476,13.567,13.39,0.0,,,,,4.0,58.0,5.0
2025-04-02T16:23:15.122247,14.977,17.53,0.0,,,,,8.0,31.0,25.0
