timestamp;tempInt;tempExt;porteF1;porteF2;Humidity;Heure;VitesseVent
2025-04-08T10:44:51.594582;10.066;-4.94;True;False;0.89;19.0;6.667
2025-04-08T10:44:54.144220;4.434;-9.0;True;False;0.89;23.0;6.667
2025-04-08T10:44:56.690170;2.536;-9.0;True;False;0.89;2.0;6.667
2025-04-08T10:44:59.237519;10.76;8.48;True;False;0.89;6.0;6.667
2025-04-08T10:45:01.776766;22.564;25.03;True;False;0.89;9.0;6.667
2025-04-08T10:45:04.338066;25.675;26.45;True;False;0.89;13.0;6.667
2025-04-08T10:45:06.890226;18.125;10.86;True;False;0.89;16.0;6.667
2025-04-08T10:45:09.442003;7.199;-9.0;True;False;0.89;20.0;6.667
2025-04-08T10:45:11.991178;3.845;-9.0;True;False;0.89;23.0;6.667
2025-04-08T10:45:14.542905;2.653;-7.58;True;False;0.89;3.0;6.667
2025-04-08T10:45:17.095632;13.638;12.97;True;False;0.89;7.0;6.667
2025-04-08T10:45:19.634638;24.063;27.04;True;False;0.89;10.0;6.667
2025-04-08T10:45:22.181295;24.586;23.75;True;False;0.89;14.0;6.667
2025-04-08T10:45:24.727562;16.066;6.27;True;False;0.89;17.0;6.667
2025-04-08T10:45:27.279789;2.689;-9.0;False;False;0.89;21.0;6.667
2025-04-08T10:45:29.823794;0.244;-9.0;False;False;0.89;0.0;6.667
2025-04-08T10:45:32.384919;2.191;-3.13;False;False;0.89;4.0;6.667
2025-04-08T10:45:34.949365;16.208;16.86;False;False;0.89;7.0;6.667
2025-04-08T10:45:37.492289;25.578;27.87;False;False;0.89;11.0;6.667
2025-04-08T10:45:40.044977;22.329;20.37;False;False;0.89;14.0;6.667
2025-04-08T10:45:42.601037;10.932;1.25;False;False;0.89;18.0;6.667
2025-04-08T10:45:45.149461;1.813;-9.0;False;False;0.89;21.0;6.667
2025-04-08T10:45:47.700004;-0.168;-9.0;False;False;0.89;1.0;6.667
2025-04-08T10:45:50.234394;4.923;1.44;False;False;1.0;5.0;6.667
2025-04-08T10:45:52.795102;19.306;20.43;False;False;1.0;8.0;6.667
2025-04-08T10:45:55.335936;25.913;27.65;False;False;0.97;12.0;6.667
2025-04-08T10:45:57.885482;19.81;16.56;False;False;0.97;15.0;6.667
2025-04-08T10:46:00.429679;7.861;-3.3;False;False;0.97;19.0;6.667
2025-04-08T10:46:02.975422;1.213;-9.0;False;False;0.97;22.0;6.667
2025-04-08T10:46:05.526768;-0.436;-9.0;False;False;0.97;2.0;6.667
2025-04-08T10:46:08.079827;7.821;5.83;False;False;0.97;5.0;6.667
2025-04-08T10:46:10.637450;21.664;23.3;False;False;0.97;9.0;6.667
2025-04-08T10:46:13.179324;25.512;26.42;False;False;0.97;12.0;6.667
2025-04-08T10:46:15.740092;17.447;12.22;False;False;0.97;16.0;6.667
2025-04-08T10:46:18.281858;4.448;-8.07;False;False;0.97;19.0;6.667
2025-04-08T10:46:20.817457;0.717;-9.0;False;False;0.97;23.0;6.667
2025-04-08T10:46:23.366745;-0.682;-9.0;False;False;0.97;3.0;6.667
2025-04-08T10:46:25.923121;10.849;10.1;False;False;0.97;6.0;6.667
2025-04-08T10:46:28.471580;23.27;25.37;False;False;0.97;10.0;6.667
2025-04-08T10:46:31.032374;24.408;24.21;False;False;0.97;13.0;6.667
2025-04-08T10:46:33.593501;14.943;7.75;False;False;0.97;17.0;6.667
2025-04-08T10:46:36.147248;10.766;1.13;False;False;0.97;18.0;6.667
